eval/episode_success,training/alpha_loss,eval/episode_success_hard,render,training/actor_loss,eval/episode_success_any,eval/episode_reward_ctrl,training/critic_loss,_runtime,training/log_alpha,eval/episode_reward,eval/episode_success_easy,step,_step,training/sps,_timestamp,eval/episode_reward_near,training/entropy,eval/episode_reward_dist,eval/episode_reward_survive,eval/episode_dist
893.232421875,0.0,0.0,"{'size': 879013, '_type': 'html-file', 'sha256': '817e0088bda64b4c917414624f6ac24aeaac603d7cf3cbfd44960acfaab59339', 'path': 'media/html/render_7428096_817e0088bda64b4c9174.html'}",-14.776361465454102,0.982421875,0.0,2.550161838531494,249.787822103,0.0,893.232421875,0.0,7428096.0,7428096.0,51431.76675074843,1774118950.0783727,0.0,0.0,-33.33537292480469,0.0,33.33537292480469
871.9814453125,0.0,0.0,,-16.18514633178711,0.9580078125,0.0,2.6589038372039795,255.623933779,0.0,871.9814453125,0.0,7682048.0,7682048.0,51409.22959982922,1774118950.2461195,0.0,0.0,-35.653419494628906,0.0,35.653419494628906
875.7802734375,0.0,0.0,,-17.458637237548828,1.0,0.0,2.740262269973755,261.306609757,0.0,875.7802734375,0.0,7936000.0,7936000.0,51374.58244970398,1774118955.9140606,0.0,0.0,-34.82067108154297,0.0,34.82067108154297
925.53515625,0.0,0.0,,-17.961101531982422,0.994140625,0.0,2.7893359661102295,266.970511185,0.0,925.53515625,0.0,8189952.0,8189952.0,51192.76008860612,1774118961.5964854,0.0,0.0,-32.134891510009766,0.0,32.134891510009766
930.849609375,0.0,0.0,,-18.614614486694336,0.9990234375,0.0,2.830775737762451,272.630849228,0.0,930.849609375,0.0,8443904.0,8443904.0,51369.03996891483,1774118967.260142,0.0,0.0,-31.071937561035156,0.0,31.071937561035156
940.8876953125,0.0,0.0,"{'path': 'media/html/render_8697856_06b77b55a2b96710dc21.html', 'size': 808581, '_type': 'html-file', 'sha256': '06b77b55a2b96710dc21f8459bbb2c95f5fea3e12129d92b7e4bfcd32c80a04d'}",-19.99092674255371,0.9931640625,0.0,2.897735118865967,287.491130669,0.0,940.8876953125,0.0,8697856.0,8697856.0,51411.88715671893,1774118987.7816694,0.0,0.0,-28.32865333557129,0.0,28.32865333557129
933.2041015625,0.0,0.0,,-20.75181007385254,0.9990234375,0.0,2.953122615814209,293.35212563,0.0,933.2041015625,0.0,8951808.0,8951808.0,51453.43880998259,1774118987.9638777,0.0,0.0,-27.725154876708984,0.0,27.725154876708984
945.9033203125,0.0,0.0,,-21.519187927246094,0.9931640625,0.0,2.964324951171875,299.029311646,0.0,945.9033203125,0.0,9205760.0,9205760.0,51286.78685458162,1774118993.6421297,0.0,0.0,-26.402524948120117,0.0,26.402524948120117
939.8564453125,0.0,0.0,,-21.604415893554688,0.9931640625,0.0,3.016995429992676,304.70924344,0.0,939.8564453125,0.0,9459712.0,9459712.0,51219.75012596339,1774118999.3193882,0.0,0.0,-28.612255096435547,0.0,28.612255096435547
945.359375,0.0,0.0,,-22.81832504272461,0.9951171875,0.0,3.061948776245117,310.373759034,0.0,945.359375,0.0,9713664.0,9713664.0,51221.68611248698,1774119004.998843,0.0,0.0,-26.332969665527344,0.0,26.332969665527344
911.8486328125,0.0,0.0,"{'size': 851837, '_type': 'html-file', 'sha256': '49f96ebda2ef6e8b6ed9c73fe32bc8b5fbdc593a5c152f8623378b151418b98d', 'path': 'media/html/render_9967616_49f96ebda2ef6e8b6ed9.html'}",-23.528911590576172,0.98828125,0.0,3.1103169918060303,325.744419532,0.0,911.8486328125,0.0,9967616.0,9967616.0,51350.822877603125,1774119026.034813,0.0,0.0,-31.4395751953125,0.0,31.4395751953125
933.89453125,0.0,0.0,,-23.774778366088867,0.99609375,0.0,3.0715670585632324,331.602090623,0.0,933.89453125,0.0,10221568.0,10221568.0,51382.90956797622,1774119026.2140958,0.0,0.0,-32.3628044128418,0.0,32.3628044128418
951.2646484375,0.0,0.0,,-24.847585678100586,1.0,0.0,3.140545606613159,337.277492143,0.0,951.2646484375,0.0,10475520.0,10475520.0,51269.6990482909,1774119031.892116,0.0,0.0,-28.23863983154297,0.0,28.23863983154297
951.732421875,0.0,0.0,,-26.201644897460938,0.9990234375,0.0,3.141140937805176,342.949909327,0.0,951.732421875,0.0,10729472.0,10729472.0,51258.073410535755,1774119037.5674996,0.0,0.0,-27.580589294433594,0.0,27.580589294433594
949.830078125,0.0,0.0,,-26.94884490966797,0.998046875,0.0,3.205509901046753,348.61946185,0.0,949.830078125,0.0,10983424.0,10983424.0,51282.070647468754,1774119043.2395537,0.0,0.0,-27.23986053466797,0.0,27.23986053466797
948.3583984375,0.0,0.0,"{'size': 896597, '_type': 'html-file', 'sha256': 'b0872e0b7e940cdfd8a2974bb26d84071e7b8de8ca0864265e1fd047c3759fb1', 'path': 'media/html/render_11237376_b0872e0b7e940cdfd8a2.html'}",-28.90678596496582,1.0,0.0,3.266815662384033,363.312989306,0.0,948.3583984375,0.0,11237376.0,11237376.0,51317.19139522338,1774119063.6035078,0.0,0.0,-28.17327117919922,0.0,28.17327117919922
963.2158203125,0.0,0.0,,-29.9107666015625,1.0,0.0,3.2978672981262207,369.186815867,0.0,963.2158203125,0.0,11491328.0,11491328.0,51261.98586545229,1774119063.792892,0.0,0.0,-25.444177627563477,0.0,25.444177627563477
961.826171875,0.0,0.0,,-30.920177459716797,1.0,0.0,3.3266172409057617,374.858178216,0.0,961.826171875,0.0,11745280.0,11745280.0,51212.13075587942,1774119069.4767733,0.0,0.0,-27.912437438964844,0.0,27.912437438964844
958.2890625,0.0,0.0,,-31.79286003112793,1.0,0.0,3.3790812492370605,380.537149203,0.0,958.2890625,0.0,11999232.0,11999232.0,51275.259605146304,1774119075.14823,0.0,0.0,-26.93924903869629,0.0,26.93924903869629
907.4912109375,0.0,0.0,,-33.67527770996094,0.9990234375,0.0,3.4398422241210938,386.212346118,0.0,907.4912109375,0.0,12253184.0,12253184.0,51215.602779769215,1774119080.8270302,0.0,0.0,-31.91666030883789,0.0,31.91666030883789
923.908203125,0.0,0.0,"{'path': 'media/html/render_12507136_84182a8b637f0dfeca55.html', 'size': 841921, '_type': 'html-file', 'sha256': '84182a8b637f0dfeca559b547760a7a0b99be8e1282a446453667ac459625ebd'}",-34.38766860961914,1.0,0.0,3.4743311405181885,401.036968725,0.0,923.908203125,0.0,12507136.0,12507136.0,51244.59900771888,1774119101.3275266,0.0,0.0,-29.12196922302246,0.0,29.12196922302246
967.78125,0.0,0.0,,-35.75339889526367,1.0,0.0,3.5011799335479736,406.883682977,0.0,967.78125,0.0,12761088.0,12761088.0,51368.01931162106,1774119101.4935389,0.0,0.0,-27.46585464477539,0.0,27.46585464477539
961.1962890625,0.0,0.0,,-36.31782913208008,1.0,0.0,3.517967462539673,412.549862511,0.0,961.1962890625,0.0,13015040.0,13015040.0,51251.07885737844,1774119107.173613,0.0,0.0,-27.717212677001953,0.0,27.717212677001953
951.5419921875,0.0,0.0,,-36.8838996887207,0.9892578125,0.0,3.5531609058380127,418.218550398,0.0,951.5419921875,0.0,13268992.0,13268992.0,51357.56238863568,1774119112.8398747,0.0,0.0,-27.4005184173584,0.0,27.4005184173584
941.7724609375,0.0,0.0,,-37.89806365966797,0.9951171875,0.0,3.569505214691162,423.884026671,0.0,941.7724609375,0.0,13522944.0,13522944.0,51312.30892060367,1774119118.508542,0.0,0.0,-29.41968536376953,0.0,29.41968536376953
966.9658203125,0.0,0.0,"{'size': 858445, '_type': 'html-file', 'sha256': '89b1a792632da8942532311eae7676529364eeca0c4f75e7639f66a8b5866b4f', 'path': 'media/html/render_13776896_89b1a792632da8942532.html'}",-38.73618698120117,1.0,0.0,3.60520076751709,438.57786437,0.0,966.9658203125,0.0,13776896.0,13776896.0,51370.4223801119,1774119138.8683615,0.0,0.0,-25.96895408630371,0.0,25.96895408630371
957.9365234375,0.0,0.0,,-39.62479019165039,0.9970703125,0.0,3.641724109649658,444.415449703,0.0,957.9365234375,0.0,14030848.0,14030848.0,51401.35035535467,1774119139.0329878,0.0,0.0,-24.76162338256836,0.0,24.76162338256836
965.841796875,0.0,0.0,,-40.269264221191406,1.0,0.0,3.6911723613739014,450.096568356,0.0,965.841796875,0.0,14284800.0,14284800.0,51307.560832720985,1774119144.705206,0.0,0.0,-26.45073699951172,0.0,26.45073699951172
966.19921875,0.0,0.0,,-40.822689056396484,1.0,0.0,3.711451292037964,455.749921832,0.0,966.19921875,0.0,14538752.0,14538752.0,51245.08469306286,1774119150.3866124,0.0,0.0,-27.14212417602539,0.0,27.14212417602539
961.4619140625,0.0,0.0,,-41.28852081298828,1.0,0.0,3.71998929977417,461.401180696,0.0,961.4619140625,0.0,14792704.0,14792704.0,51493.16818910816,1774119156.0398266,0.0,0.0,-28.68001937866211,0.0,28.68001937866211
963.666015625,0.0,0.0,"{'size': 865409, '_type': 'html-file', 'sha256': 'cb5603411622dba8b204225fbfe026d015086d56b7bbbac0d99e4977f338d3bc', 'path': 'media/html/render_15046656_cb5603411622dba8b204.html'}",-41.858619689941406,0.99609375,0.0,3.782578706741333,476.399328958,0.0,963.666015625,0.0,15046656.0,15046656.0,51494.99793362879,1774119176.6898463,0.0,0.0,-26.46090316772461,0.0,26.46090316772461
962.3984375,0.0,0.0,,-42.28255844116211,1.0,0.0,3.8103809356689453,482.253654647,0.0,962.3984375,0.0,15300608.0,15300608.0,51361.9358464689,1774119176.8685694,0.0,0.0,-25.92625617980957,0.0,25.92625617980957
930.732421875,0.0,0.0,,-42.571346282958984,0.998046875,0.0,3.817460536956787,487.930001902,0.0,930.732421875,0.0,15554560.0,15554560.0,51283.203939529114,1774119182.5437095,0.0,0.0,-29.795001983642578,0.0,29.795001983642578
959.1689453125,0.0,0.0,,-42.95814895629883,1.0,0.0,3.859962224960327,493.607317729,0.0,959.1689453125,0.0,15808512.0,15808512.0,51274.85480131613,1774119188.219998,0.0,0.0,-27.596847534179688,0.0,27.596847534179688
960.814453125,0.0,0.0,,-43.21748352050781,1.0,0.0,3.8977975845336914,499.282063531,0.0,960.814453125,0.0,16062464.0,16062464.0,51246.391404920345,1774119193.8973176,0.0,0.0,-25.426414489746094,0.0,25.426414489746094
943.2197265625,0.0,0.0,"{'size': 875025, '_type': 'html-file', 'sha256': '6ce2ff0f3f22bb6e4dcfa853acba8cda3e75bafe669bcf8e9e10151c5bfff73a', 'path': 'media/html/render_16316416_6ce2ff0f3f22bb6e4dcf.html'}",-43.398189544677734,1.0,0.0,3.919494867324829,514.623700408,0.0,943.2197265625,0.0,16316416.0,16316416.0,51266.08644337734,1774119214.914249,0.0,0.0,-28.84777069091797,0.0,28.84777069091797
947.8447265625,0.0,0.0,,-43.55086135864258,1.0,0.0,3.94297456741333,520.484623803,0.0,947.8447265625,0.0,16570368.0,16570368.0,51223.32417975621,1774119215.086269,0.0,0.0,-25.98094940185547,0.0,25.98094940185547
963.0048828125,0.0,0.0,,-43.58698272705078,0.9990234375,0.0,3.9384496212005615,526.162357527,0.0,963.0048828125,0.0,16824320.0,16824320.0,51162.033395926235,1774119220.7747746,0.0,0.0,-27.550941467285156,0.0,27.550941467285156
930.228515625,0.0,0.0,,-43.55250549316406,1.0,0.0,3.928145170211792,531.858383633,0.0,930.228515625,0.0,17078272.0,17078272.0,51219.32649448463,1774119226.452464,0.0,0.0,-30.286514282226562,0.0,30.286514282226562
947.5888671875,0.0,0.0,,-43.48640823364258,1.0,0.0,3.9198062419891357,537.543072003,0.0,947.5888671875,0.0,17332224.0,17332224.0,51089.751576997274,1774119232.148454,0.0,0.0,-28.994688034057617,0.0,28.994688034057617
945.98046875,0.0,0.0,"{'size': 883333, '_type': 'html-file', 'sha256': '7d0c09336518d9a356c1da69cf47ac8cdb0a53c95b59bbc969fb03738a03b18e', 'path': 'media/html/render_17586176_7d0c09336518d9a356c1.html'}",-43.5616340637207,1.0,0.0,3.9152960777282715,552.28747767,0.0,945.98046875,0.0,17586176.0,17586176.0,51157.63740209092,1774119252.578004,0.0,0.0,-28.364299774169922,0.0,28.364299774169922
885.38671875,0.0,0.0,,-43.66424560546875,0.994140625,0.0,3.9298288822174072,558.137325964,0.0,885.38671875,0.0,17840128.0,17840128.0,51156.974014185995,1774119252.7323265,0.0,0.0,-35.039024353027344,0.0,35.039024353027344
946.228515625,0.0,0.0,,-43.712799072265625,0.986328125,0.0,3.9376425743103027,563.820123106,0.0,946.228515625,0.0,18094080.0,18094080.0,51068.71773219337,1774119258.4272501,0.0,0.0,-30.62792205810547,0.0,30.62792205810547
947.0537109375,0.0,0.0,,-43.76956558227539,0.9990234375,0.0,3.932976484298706,569.524530814,0.0,947.0537109375,0.0,18348032.0,18348032.0,51185.835002226144,1774119264.1099675,0.0,0.0,-29.305007934570312,0.0,29.305007934570312
960.29296875,0.0,0.0,,-43.7608642578125,0.9970703125,0.0,3.932081699371338,575.21795867,0.0,960.29296875,0.0,18601984.0,18601984.0,50984.489255318564,1774119269.814338,0.0,0.0,-28.212894439697266,0.0,28.212894439697266
915.76953125,0.0,0.0,"{'sha256': '985c3c86da6c5605c85b5b781e864707ac3e5d7ef9ac822576478efe7e0a4265', 'path': 'media/html/render_18855936_985c3c86da6c5605c85b.html', 'size': 882769, '_type': 'html-file'}",-43.7571907043457,0.9970703125,0.0,3.9226067066192627,590.106072627,0.0,915.76953125,0.0,18855936.0,18855936.0,51085.30184292843,1774119290.3966188,0.0,0.0,-32.67072296142578,0.0,32.67072296142578
959.65234375,0.0,0.0,,-43.76247787475586,1.0,0.0,3.9362142086029053,595.959599606,0.0,959.65234375,0.0,19109888.0,19109888.0,50902.632533727985,1774119290.5456595,0.0,0.0,-30.260738372802734,0.0,30.260738372802734
947.7060546875,0.0,0.0,,-43.88496398925781,0.998046875,0.0,3.948885679244995,601.634229483,0.0,947.7060546875,0.0,19363840.0,19363840.0,50973.073086207725,1774119296.2496397,0.0,0.0,-28.466127395629883,0.0,28.466127395629883
934.9638671875,0.0,0.0,,-44.000877380371094,0.982421875,0.0,3.9595680236816406,607.321952378,0.0,934.9638671875,0.0,19617792.0,19617792.0,51241.95871699388,1774119301.9242184,0.0,0.0,-31.304443359375,0.0,31.304443359375
936.2919921875,0.0,0.0,,-44.03854751586914,0.990234375,0.0,3.9754979610443115,613.005029141,0.0,936.2919921875,0.0,19871744.0,19871744.0,51154.745648192365,1774119307.6119204,0.0,0.0,-32.15575408935547,0.0,32.15575408935547
945.826171875,0.0,0.0,"{'size': 901057, '_type': 'html-file', 'sha256': '0a77d47f0a692699a278aa221b429b15fc966852f2d7e09f0a83823d5e30ab36', 'path': 'media/html/render_20125696_0a77d47f0a692699a278.html'}",-44.078712463378906,0.98828125,0.0,3.996779203414917,628.308484821,0.0,945.826171875,0.0,20125696.0,20125696.0,51167.47721885187,1774119328.5988717,0.0,0.0,-29.8532772064209,0.0,29.8532772064209
956.6123046875,0.0,0.0,,-44.12568283081055,1.0,0.0,4.003647327423096,634.142370861,0.0,956.6123046875,0.0,20379648.0,20379648.0,51313.01095089925,1774119328.7607305,0.0,0.0,-30.653324127197266,0.0,30.653324127197266
931.8359375,0.0,0.0,,-44.15011215209961,0.982421875,0.0,4.001350402832031,639.806197389,0.0,931.8359375,0.0,20633600.0,20633600.0,51296.9012280557,1774119334.4324057,0.0,0.0,-33.011962890625,0.0,33.011962890625
963.7529296875,0.0,0.0,,-44.17361068725586,0.994140625,0.0,4.018932819366455,645.467024933,0.0,963.7529296875,0.0,20887552.0,20887552.0,51369.711345705124,1774119340.096166,0.0,0.0,-30.198699951171875,0.0,30.198699951171875
967.2451171875,0.0,0.0,,-44.198822021484375,0.99609375,0.0,4.019192695617676,651.139977084,0.0,967.2451171875,0.0,21141504.0,21141504.0,51423.7366027922,1774119345.7571113,0.0,0.0,-28.3749942779541,0.0,28.3749942779541
963.029296875,0.0,0.0,"{'size': 882405, '_type': 'html-file', 'sha256': '9dc8aec88044e52e46a5841e0ce1f66eedb487492151c2d252ef5823fcbd4539', 'path': 'media/html/render_21395456_9dc8aec88044e52e46a5.html'}",-44.191566467285156,0.9970703125,0.0,4.027090549468994,665.68012595,0.0,963.029296875,0.0,21395456.0,21395456.0,51287.135048756514,1774119365.9706547,0.0,0.0,-31.358352661132812,0.0,31.358352661132812
971.53515625,0.0,0.0,,-44.14714431762695,1.0,0.0,4.0102996826171875,671.507474658,0.0,971.53515625,0.0,21649408.0,21649408.0,51427.67438921326,1774119366.1238115,0.0,0.0,-29.957077026367188,0.0,29.957077026367188
943.4189453125,0.0,0.0,,-44.12839889526367,0.998046875,0.0,4.01551628112793,677.173499052,0.0,943.4189453125,0.0,21903360.0,21903360.0,51311.53769819687,1774119371.7975914,0.0,0.0,-32.048919677734375,0.0,32.048919677734375
958.6982421875,0.0,0.0,,-44.12375259399414,1.0,0.0,4.014256954193115,682.881881424,0.0,958.6982421875,0.0,22157312.0,22157312.0,51332.25257360803,1774119377.46355,0.0,0.0,-30.516122817993164,0.0,30.516122817993164
966.10546875,0.0,0.0,,-44.13787078857422,1.0,0.0,4.010617733001709,688.564631211,0.0,966.10546875,0.0,22411264.0,22411264.0,51154.99869431678,1774119383.171852,0.0,0.0,-30.536029815673828,0.0,30.536029815673828
964.314453125,0.0,0.0,"{'size': 893385, '_type': 'html-file', 'sha256': '7b15d48f2c9918ce14344000f1ce68c89a3db56a2a4b9102ef8162247465877d', 'path': 'media/html/render_22665216_7b15d48f2c9918ce1434.html'}",-44.14748764038086,1.0,0.0,4.010286808013916,704.231170349,0.0,964.314453125,0.0,22665216.0,22665216.0,51196.09660714892,1774119404.5217166,0.0,0.0,-29.227802276611328,0.0,29.227802276611328
963.505859375,0.0,0.0,,-44.13164138793945,0.998046875,0.0,4.006773948669434,710.085268423,0.0,963.505859375,0.0,22919168.0,22919168.0,51149.08101848317,1774119404.6967921,0.0,0.0,-32.55210876464844,0.0,32.55210876464844
959.185546875,0.0,0.0,,-44.162532806396484,1.0,0.0,4.012869358062744,715.751221245,0.0,959.185546875,0.0,23173120.0,23173120.0,51257.0818238952,1774119410.3748279,0.0,0.0,-31.892887115478516,0.0,31.892887115478516
967.7998046875,0.0,0.0,,-44.17530822753906,0.998046875,0.0,4.006539821624756,721.412370567,0.0,967.7998046875,0.0,23427072.0,23427072.0,51357.95611791918,1774119416.041187,0.0,0.0,-30.935813903808594,0.0,30.935813903808594
947.2802734375,0.0,0.0,,-44.18669891357422,0.9912109375,0.0,4.009232044219971,727.080053906,0.0,947.2802734375,0.0,23681024.0,23681024.0,51373.848999592345,1774119421.7024956,0.0,0.0,-33.90745162963867,0.0,33.90745162963867
970.9306640625,0.0,0.0,"{'sha256': '194e0d7cdafff7b84382aec1f4698312c62dab337521223e3e11405bd502486c', 'path': 'media/html/render_23934976_194e0d7cdafff7b84382.html', 'size': 899933, '_type': 'html-file'}",-44.24003982543945,1.0,0.0,4.0170440673828125,742.620464144,0.0,970.9306640625,0.0,23934976.0,23934976.0,51333.44745925067,1774119442.911003,0.0,0.0,-29.281078338623047,0.0,29.281078338623047
973.431640625,0.0,0.0,,-44.272682189941406,1.0,0.0,4.022223472595215,748.472308669,0.0,973.431640625,0.0,24188928.0,24188928.0,51288.658762566214,1774119443.0752416,0.0,0.0,-30.510509490966797,0.0,30.510509490966797
953.8818359375,0.0,0.0,,-44.267032623291016,0.98828125,0.0,4.034201622009277,754.146341245,0.0,953.8818359375,0.0,24442880.0,24442880.0,51182.33750029492,1774119448.7622602,0.0,0.0,-32.74814224243164,0.0,32.74814224243164
971.890625,0.0,0.0,,-44.22711181640625,1.0,0.0,4.030392646789551,759.816062018,0.0,971.890625,0.0,24696832.0,24696832.0,51259.755742295194,1774119454.4359455,0.0,0.0,-30.40036392211914,0.0,30.40036392211914
969.1416015625,0.0,0.0,,-44.16251754760742,1.0,0.0,4.025238037109375,765.4839653,0.0,969.1416015625,0.0,24950784.0,24950784.0,51312.598134983185,1774119460.1060472,0.0,0.0,-33.63928985595703,0.0,33.63928985595703
